course_url,course_name,absoulte_url
/course/learning-how-to-learn-2161,Learning How to Learn: Powerful mental tools to help you master tough subjects,https://www.classcentral.com/course/learning-how-to-learn-2161
/course/mindshift-8289,Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,https://www.classcentral.com/course/mindshift-8289
/course/mindfulness-life-9078,Maintaining a Mindful Life,https://www.classcentral.com/course/mindfulness-life-9078
/course/interviews-2253,How to Succeed at: Interviews,https://www.classcentral.com/course/interviews-2253
/course/learning-how-to-learn-youth-12569,Learning How To Learn for Youth,https://www.classcentral.com/course/learning-how-to-learn-youth-12569
/course/aprendo-4631,Aprender,https://www.classcentral.com/course/aprendo-4631
/course/speechwriting-9646,Presentation skills: Speechwriting and Storytelling,https://www.classcentral.com/course/speechwriting-9646
/course/worksmarter-2727,"Work Smarter, Not Harder: Time Management for Personal & Professional Productivity",https://www.classcentral.com/course/worksmarter-2727
/course/independent-umano-digitale-13499,Umano Digitale,https://www.classcentral.com/course/independent-umano-digitale-13499
/course/mindfulness-6951,De-Mystifying Mindfulness,https://www.classcentral.com/course/mindfulness-6951
/course/edx-psychology-of-personal-growth-8857,Psychology of Personal Growth,https://www.classcentral.com/course/edx-psychology-of-personal-growth-8857
/course/craft-of-plot-5625,Creative Writing: The Craft of Plot,https://www.classcentral.com/course/craft-of-plot-5625
/course/edx-diseno-de-estrategias-exitosas-y-acciones-incontenibles-4934,Diseño de Estrategias Exitosas y Acciones Incontenibles,https://www.classcentral.com/course/edx-diseno-de-estrategias-exitosas-y-acciones-incontenibles-4934
/course/successfulnegotiation-2460,Successful Negotiation: Essential Strategies and Skills,https://www.classcentral.com/course/successfulnegotiation-2460
/course/improving-study-techniques-13420,Improving Your Study Techniques,https://www.classcentral.com/course/improving-study-techniques-13420
/course/public-speaking-project-9644,Presentation skills: Public Speaking Project,https://www.classcentral.com/course/public-speaking-project-9644
/course/edx-buscar-en-internet-2971,Buscar en Internet,https://www.classcentral.com/course/edx-buscar-en-internet-2971
/course/probsolve-2721,Effective Problem-Solving and Decision-Making,https://www.classcentral.com/course/probsolve-2721
/course/edx-negoziazione-e-comunicazione-efficace-9244,Negoziazione e comunicazione efficace,https://www.classcentral.com/course/edx-negoziazione-e-comunicazione-efficace-9244
/course/know-thyself-the-examined-life-432, Know Thyself - The Value and Limits of Self-Knowledge: The Examined Life,https://www.classcentral.com/course/know-thyself-the-examined-life-432
/course/delivery-9645,Presentation skills:  Effective Presentation Delivery,https://www.classcentral.com/course/delivery-9645
/course/businesswriting-2724,High-Impact Business Writing,https://www.classcentral.com/course/businesswriting-2724
/course/negotiation-4336,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,https://www.classcentral.com/course/negotiation-4336
/course/video-game-story-4257,Story and Narrative Development for Video Games,https://www.classcentral.com/course/video-game-story-4257
/course/personal-branding-4865,Introduction to Personal Branding,https://www.classcentral.com/course/personal-branding-4865
/course/craft-of-style-5621,Creative Writing: The Craft of Style,https://www.classcentral.com/course/craft-of-style-5621
/course/cps-1636,Creative Problem Solving,https://www.classcentral.com/course/cps-1636
/course/poweronboarding-2256,Power Onboarding,https://www.classcentral.com/course/poweronboarding-2256
/course/21stcencom-2723,Communication in the 21st Century Workplace,https://www.classcentral.com/course/21stcencom-2723
/course/artofnegotiation-2725,The Art of Negotiation,https://www.classcentral.com/course/artofnegotiation-2725
/course/negociacao-4217,Negociações de sucesso: estratégias e habilidades essenciais (em Português),https://www.classcentral.com/course/negociacao-4217
/course/intercultural-communication-and-conflict-4221,Intercultural Communication and Conflict Resolution,https://www.classcentral.com/course/intercultural-communication-and-conflict-4221
/course/aprender-4227,Aprendendo a aprender: ferramentas mentais poderosas para ajudá-lo a dominar assuntos difíceis (em Português) [Learning How to Learn],https://www.classcentral.com/course/aprender-4227
/course/conflict-resolution-skills-4194,Conflict Resolution Skills,https://www.classcentral.com/course/conflict-resolution-skills-4194
/course/types-of-conflict-4250,Types of Conflict,https://www.classcentral.com/course/types-of-conflict-4250
/course/negociacion-4188,Negociación exitosa: Estrategias y habilidades esenciales (en español),https://www.classcentral.com/course/negociacion-4188
/course/art-of-negotiationes-4620,El arte de negociar,https://www.classcentral.com/course/art-of-negotiationes-4620
/course/trabaja-inteligentemente-4652,"Trabaja inteligentemente, no más duro: Gestión del tiempo para la productividad personal y profesional ",https://www.classcentral.com/course/trabaja-inteligentemente-4652
/course/comunicacion-trabajo-4655,La comunicación laboral en el siglo XXI ,https://www.classcentral.com/course/comunicacion-trabajo-4655
/course/problem-solvinges-4667,Cómo resolver problemas y tomar decisiones con eficacia,https://www.classcentral.com/course/problem-solvinges-4667
/course/presentation-skills-6596,Successful Presentation,https://www.classcentral.com/course/presentation-skills-6596
/course/presentations-speaking-so-that-people-li-6824,Presentations: Speaking so that People Listen,https://www.classcentral.com/course/presentations-speaking-so-that-people-li-6824
/course/get-hired-7091,Job Success: Get Hired or Promoted in 3 Steps,https://www.classcentral.com/course/get-hired-7091
/course/inform-speech-7458,Speaking to inform:  Discussing complex ideas with clear explanations and dynamic slides,https://www.classcentral.com/course/inform-speech-7458
/course/how-to-write-a-resume-5830,How to Write a Resume (Project-Centered Course),https://www.classcentral.com/course/how-to-write-a-resume-5830
/course/professional-identity-5987,Foundations of Professional Identity,https://www.classcentral.com/course/professional-identity-5987
/course/leadership-influence-5992,Leadership and Influence,https://www.classcentral.com/course/leadership-influence-5992
/course/professional-brand-5994,Shaping Your Professional Brand,https://www.classcentral.com/course/professional-brand-5994
/course/everyday-leadership-application-5250,Applications of Everyday Leadership,https://www.classcentral.com/course/everyday-leadership-application-5250
/course/upravlinnya-chasom-5261,"Працюйте розумніше, а не більше: управління часом для особистої та професійної продуктивності",https://www.classcentral.com/course/upravlinnya-chasom-5261
/course/what-is-a-mind-3314,What is a Mind?,https://www.classcentral.com/course/what-is-a-mind-3314
/course/edx-hope-human-odyssey-to-political-existentialism-11584,HOPE: Human Odyssey to Political Existentialism,https://www.classcentral.com/course/edx-hope-human-odyssey-to-political-existentialism-11584
/course/socialpsychology-555,Social Psychology,https://www.classcentral.com/course/socialpsychology-555
/course/eu-making-europe-work-7408,EU policy and implementation: making Europe work! ,https://www.classcentral.com/course/eu-making-europe-work-7408
/course/modelthinking-317,Model Thinking,https://www.classcentral.com/course/modelthinking-317
/course/edx-gender-and-sexuality-applications-in-society-12333,Gender and Sexuality: Applications in Society,https://www.classcentral.com/course/edx-gender-and-sexuality-applications-in-society-12333
