Country,Company Name,Address,Contact,Website
Curacao,Betsmartech,Kaya Seru Mangasina 2 Willemstad,"artvanu@hotmail.com,5999-51-79960",https://www.control4.com/dealer/betsmartech0/willemstad-cw/
Costa Rica,Smart Technologies Ltda,Del cruce de Huacas 1km sur hacia Tamarindo Huacas,"dan@smartechcr.com,506-4001-2084",https://www.control4.com/dealer/smarttechnologiesltda2/huacas-cr/
Croatia,Smart Touch d.o.o.,Internacionalnih brigada 13b 51000 Rijeka Croatia,"info@smart-touch.hr,00385 51 546 142",https://www.control4.com/dealer/smarttouchdoo2/croatia-hr/
Croatia,Smart Touch d.o.o.,Radnicka 21 10000 Zagreb,"info@smart-touch.hr,00385 51 546 142",https://www.control4.com/dealer/smarttouchdoo3/zagreb-hr/
China,Yunnan Zhiliang Technology Co. Ltd,"Room 1914, Times Square 8, Hongta District 653100 Yuxi, Yunnan","dushaochen@aliyun.com,+86 13908772345",https://www.control4.com/dealer/yunnanzhiliangtechnologycoltd3/yuxiyunnan-cn/
 Cambodia,ICE Electronics,"#61-63, St. 1019 Phnom Penh","len.tan@icenhance.com,077 888 189",https://www.control4.com/dealer/iceelectronics6/phnompenh-kh/
Bulgaria,Automation+,"bul. ""Tsar Boris III"" 366 1619 Sofia Bulgaria","office@automationplus.eu,+359 2 963 3797",https://www.control4.com/dealer/automation2/sofia-bg/
 Colombia,Hometech El Hogar Digital Sas,Carrera 19 Nº 103-61 Barrio: Santa Bibiana Bogotá,"gerencia@hometechcolombia.com,+ 57 4 4447774",https://www.control4.com/dealer/hometechelhogardigitalsas4/bogot-co/
 Bolivia,Redsmart,"AV Blanco Galindo 1237, Supermall PB Local 35 2500 Cochabamba","luiscarlos@redsmart.online,59 17 640-5555",https://www.control4.com/dealer/redsmart2/cochabamba-bo/
Brazil,ZAFIRO,"Rua Frei Aureliano, 327 44076-290 FEIRA DE SANTANA BA","comercial@zafiro.com.br,(75) 3021-1319",http://www.zafiro.com.br
 Bolivia,"Alvan Electronics Miami, Inc",Calle 1 Oeste #4020 Radial 10 Santa Cruz,"sales@alvanelectronics.com,591-7218-8500",https://www.control4.com/dealer/alvanelectronicsmiamiinc2/santacruz-bo/
Brazil,WI HOUSE,Rua Marechal Hermes da Fonseca 258 86062-170 Londrina PR,"eduardo@wihouseautomacao.com.br,86062-170",http://www.wihouseautomacao.com.br
 Barbados,SmartStore Inc,"Limegrove Lifestyle Centre Holetown, St. James","jeremy@smartstoreinc.com,246-627-6278",https://www.control4.com/dealer/smartstoreinc2/holetownstjames-bb/
Belgium,wave2sound,Achterstraat 36 9420 Erpe-Mere OostVlaanderen,,https://www.control4.com/dealer_locator/show/id/wave2sound/line/0
Canada,"Digital21, Smart Home Specialists Inc",8 Painter Terrace L0R 2H1 Waterdown ON,"cale@digital21.ca,905-637-6966",http://www.Digital21.ca
Canada,Premier Smart Homes,3044 Bloor St. W. Suite 202 M8X 2Y8 Etobicoke ON,"bill@premiersmarthomes.ca,1-800-930-6393",https://www.control4.com/dealer/premiersmarthomes13-m8x2y8/etobicoke-on/
Canada,Canadian Sound,4750 Yonge Street M2N 5M6 Toronto ON,"nick@canadiansound.com,905-844-7600",https://www.control4.com/dealer/canadiansound5-m2n5m6/toronto-on/
Canada,D-Motik,"957 St-Hubert, J2H 2H4 Granby QC","info@d-motik.com,450-578-4998",https://www.control4.com/dealer/dmotik4-j2h2h4/granby-qc/
Canada,Deltech Automation Inc,1365 Mid-Way Blvd Unit 34 L5T 2J5 Mississauga ON,"george@deltechautomation.com,647-668-1441",https://www.control4.com/dealer/deltechautomationinc2-l5t2j5/mississauga-on/
Canada,Digital Home System,166 Merkley Square M1G 2Y8 Toronto ON,"ohenry@sympatico.ca,416-527-8866",https://www.control4.com/dealer/digitalhomesystem2-m1g2y8/toronto-on/
Canada,Hub Electric LTD,2001 Gillis Cres V1K 1H9 Merritt BC,"chiphubbard@hotmail.com,250-378-4646",https://www.control4.com/dealer/hubelectricltd2-v1k1h9/merritt-bc/
Canada,Info metrics Inc.,421 - 9th Street R7A 4A9 Brandon MB,"info@infometrics.net,204-578-0000",https://www.control4.com/dealer/infometricsinc1-r7a4a9/brandon-mb/
Canada,Theriault Electronique,95 Main Hawkesbury K6A 1A1 Hawkesbury ON,"adminhawkesbury@stereoplus.com,613-632-3765",https://www.control4.com/dealer/theriaultelectronique1-k6a1a1/hawkesbury-on/
Canada,The Power Centre,Unit 3 - 707 Memorial Ave. P7B 3Z7 Thunder Bay ON,"dtrak@tbaytel.net,807-345-2877",https://www.control4.com/dealer/thepowercentre1-p7b3z7/thunderbay-on/
Canada,Tweeters Satellite & Home Theatre Inc.,#307 3750 46 ave se T2b 0l1 Calgary AB,"mtweeter@telus.net,403-568-2200",https://www.control4.com/dealer/tweeterssatellitehometheatreinc2-t2b0l1/calgary-ab/
Canada,smartSPACE Technologies Ltd.,10-6325 12 St SE T2H 2K1 Calgary AB,"sales@smartspacetech.ca,403-539-9419",https://www.control4.com/dealer/smartspacetechnologiesltd2-t2h2k1/calgary-ab/
Canada,Ztouch System Limited,#2110 - 13560 Maycrest Way V6V 2W9 Richmond BC,"ztouchsystem@gmail.com,604-729-8846",https://www.control4.com/dealer/ztouchsystemlimited1-v6v2w9/richmond-bc/
Canada,Zone Signature,637 Des Bois-Francs J4B 8R1 Boucherville QC,"info@zonesignature.com,1-800-306-2510",https://www.control4.com/dealer/zonesignature1-j4b8r1/boucherville-qc/
Canada,Zentertainment,3093 Bathurst Street Suite 612 M6A 0A3 Toronto ON,"jordan@zedware.com,416-781-8457",https://www.control4.com/dealer/zentertainment2-m6a0a3/toronto-on/
Canada,"Woodhouse Communications, Inc",22 Glen Meadow Court M9B 5B8 Toronto ON,"woods.ae@gmail.com,416-839-3388",https://www.control4.com/dealer/woodhousecommunicationsinc1-m9b5b8/toronto-on/
Canada,Wiresmart Installations LTD,29760 Glengarry Ave V4X 1Z7 Abbotsford BC,"wiresmart@hotmail.com,604-375-0801",https://www.control4.com/dealer/wiresmartinstallationsltd2-v4x1z7/abbotsford-bc/
Canada,Westend Sound and Security Inc.,9076 126 Street V3V 5B6 Surrey BC,"info@westendsecurity.net,604-764-5251",https://www.control4.com/dealer/westendsoundandsecurityinc2-v3v5b6/surrey-bc/
Canada,West Electric,2-1345 Alpha Lake Rd V0N 1B1 Whistler BC,"office@westelectric.ca,604-938-1661",https://www.control4.com/dealer/westelectric2-v0n1b1/whistler-bc/
Canada,Weitz Electric,3919 5 Ave N T1H 6Y3 Lethbridge AB,"info@weitzelectric.com,403-394-0033",https://www.control4.com/dealer/weitzelectric1-t1h6y3/lethbridge-ab/
Canada,Viewtech Security,"1 Yonge Street, Unit 1801 M5E 1W7 Toronto ON","info@viewtech.ca,416-858-4232",https://www.control4.com/dealer/viewtechsecurity2-m5e1w7/toronto-on/
Canada,Vast Automation,1192 Montee Benoit K0A 1M0 Casselman ON,"stephane@vastautomation.com,613-912-8278",https://www.control4.com/dealer/vastautomation2-k0a1m0/casselman-on/
Canada,Van Ram Communications,#111 3510 Ste Anne Trail T0E 0A1 Alberta Beach AB,"chris@vanram.ca,780-220-2025",https://www.control4.com/dealer/vanramcommunications3-t0e0a1/albertabeach-ab/
Canada,VIP Solutions,"9250 Boul. L'Acadie, Suite 211 H4N 3C5 Montreal QC","info@solutionsvip.com,514-225-2199",https://www.control4.com/dealer/vipsolutions3-h4n3c5/montreal-qc/
Canada,VI Integration Inc.,1-985 Winter Rd V9C 3X4 Victoria BC,"wade@islandintegration.ca,250-883-2643",https://www.control4.com/dealer/viintegrationinc1-v9c3x4/victoria-bc/
Canada,VGM Wire & Automation,"2nd Floor, 3269-Parsons Road NW T6N 1B4 Edmonton AB","info@vgmautomation.ca,780-395-9473",https://www.control4.com/dealer/vgmwireautomation2-t6n1b4/edmonton-ab/
Canada,"Universal Home Automation, Inc.",429 Stevenson Ave L0J 1C0 Kleinburg ON,"ken@universalhomeautomation.com,416-988-4090",https://www.control4.com/dealer/universalhomeautomationinc2-l0j1c0/kleinburg-on/
Canada,U Tronix Inc.,2FL 8710 51 ave Nw T6E5E8 Edmonton AB,"brad@anetgroup.com,780-909-5555",https://www.control4.com/dealer/utronixinc6-t6e5e8/edmonton-ab/
Canada,Trutone Electronics Inc.,980 Dundas St. E. L4Y 2B8 Mississauga ON,"bob@trutone.ca,905-270-3440",https://www.control4.com/dealer/trutoneelectronicsinc1-l4y2b8/mississauga-on/
Canada,Total Audio Video Integration,152 Regent St. L4C 9N9 Richmond Hill ON,"sal@totalavi.com,416-893-6928",https://www.control4.com/dealer/totalaudiovideointegration1-l4c9n9/richmondhill-on/
Canada,Top Choice Electronics,15 Jevlan Dr. Unit A L4L 8C2 Woodbridge ON,"manu@topchoices.ca,905-265-8462",https://www.control4.com/dealer/topchoiceelectronics2-l4l8c2/woodbridge-on/
Canada,Tigon Security Solutions Ltd.,"Unit 17, 12468 – 82 Avenue V3W 3E9 Surrey BC","info@tigonsecurity.ca,778-565-4188",https://www.control4.com/dealer/tigonsecuritysolutionsltd1-v3w3e9/surrey-bc/
Canada,The LVL Group,67 Carroll Street M4M 3G2 Toronto ON,"sales@thelvlgroup.com,647-749-8121",https://www.control4.com/dealer/thelvlgroup1-m4m3g2/toronto-on/
