Title,URL,Address,Compensation,Employment Type,Description
Draftsperson Detailer,https://newyork.craigslist.org/mnh/egr/d/draftsperson-detailer/7011086338.html,Long Island City,tbd,full-time,"
        
Store/events Display props and wood cabinetry manufacturing company seeking motivated and responsible individual to fill the position of Draftsperson Detailer. Must be experienced with the process of producing client drawings and production drawings.


Must be experienced and proficient in 3D rendering.

Experience in creating CNC files required. 


Must also be skilled with drafting decorative patterns, intricate millwork
and heavily sculpted three dimensional elements for production. 



Candidate must be familiar with materials such as solid wood, plywood,
plastic, metal fabrication and veneer work. 


Must submit portfolio with application, no candidate without portfolio will be considered!


For Individuals Only! No Businesses need apply!



Hours are Monday through Friday 8:30 AM - 5:30 PM and must be available for overtime, working until 8:30 PM and weekends at times.
•	Principals only. Recruiters, please don't contact this job poster.
•	do NOT contact us with unsolicited services or offers



    "
Paid Internship Project Manager Assistant (construction industry),https://newyork.craigslist.org/mnh/egr/d/new-york-paid-internship-project/7009568232.html,New York City,$17+ hour or based on experienced salary,full-time,"
        
Internship to grow and learn in the construction industry

Assist and support General contractor, Project Managers and Superintendents on assigned projects. The Project Management Intern must be a flexible and adaptable team-player, as well as have strong communication and organizational skills. Responsibilities may include, but are not limited to processing submittals and gathering and distributing information. The individual will work alongside the project team to manage high quality project documentation and process within budget and on schedule. This positions is also expected to attend project meetings and record meeting minutes, assist with the tracking and inspection of material deliveries and other miscellaneous tasks as assigned by the project team.

Required Skills:
 
*Spanish and English Bilingual 

• Excellent written and oral communication skills;

• Strong initiative and problem solving abilities;

• Outstanding attention to detail;

• Time management skills, with the ability to handle various responsibilities while meeting strict deadlines; Required Experience

• Pursuing a Bachelor’s Degree in Construction Management, Engineering, or relevant field required;

• Demonstrated interest in construction management and the construction industry    "
Landscape Designer / Landscape Architect,https://newyork.craigslist.org/wch/egr/d/tarrytown-landscape-designer-landscape/7009582171.html,Tarrytown,commensurate with experience,full-time,"
        
Margie Ruddick Landscape located in Tarrytown, NY, is seeking a full-time Landscape Designer or Landscape Architect with expertise in design and planning for our small, fast-paced, dynamic, and collaborative firm. This position will entail the site design, planning, and coordination of projects at a range of scales, the majority of which are based in New York City, Long Island, the Hudson Valley, Westchester and Fairfield Counties. 
Applicants must have experience in landscape design and project management for small, mid-size, and large development projects.  The ideal candidate will have at minimum 2-3 years of work experience in a landscape architecture firm in the US. A background in an allied profession is a plus. Self starting entry level candidates with internship or office experience will also be considered.

Responsibilities include: 
•	Design, management, and production of drawings for projects of different scales and different stages in the        design process
•	Project management and coordination between clients, consultant teams, and contractors
•	Compilation of targeted project research and analysis into visual and text documents and/or design solutions
•	Initiate tasks, organize, and see projects through completion within a timeline
•	Preparation of and the ability to give verbal, visual, and oral presentations to clients, municipal staff and         boards, community members, etc.
•	Collaborate with and support team members

Required Qualifications:
•	Demonstrated ability in Site Assessment, Design, and Planning at macro and micro (details) scales
•	Project management and coordination experience
•	Professional Landscape Architecture degree (BLA or MLA)
•	Effective time management ability with attention to detail
•	Other degrees in allied design disciplines, such as in planning or architecture
•	AutoCAD to create site, layout, landscape, and detail plan sheets and collaborate with architects, engineers,         and consultants.
•	Adobe Suite to create presentations and diagrams 
•	Experience 3-D modeling and rendering
•	Strong design and writing skills
•	Clear communication, organization, and presentation skills

Candidates are required to submit a resume, cover letter, portfolio (no more than 15 MB), and writing sample.    "
Full Time Architect & Part Time Draft Person,https://newyork.craigslist.org/wch/egr/d/rye-full-time-architect-part-time-draft/7009601877.html,Rye,Will be discussed with right candidate,contract,"
        
FULL TIME & PART TIME ARCHITECT AND DRAFT PERSON   WESTCHESTER / NYC AREA
La Rocca Greene Architects is a medium-size, award- winning firm in Rye, New York. We are seeking a project architect with 5-10 years experience and CAD Draft person with 2-4 years experience for our current and upcoming projects including schools, colleges, municipal and commercial buildings.  Part Time position could be in-office and remote with flexible hours.  Positions offer a wide range of responsibilities and opportunity for design, production and fieldwork in a collaborative work environment which fosters professional growth.  Location in Rye, NY provides quick access to and from Manhattan via Metro North and easy commuting from nearby towns. AutoCAD expertise and current residence in NYC area required. Email resume and work samples to slarocca@laroccagreene.com.    "
Design Developer/Project Manager for Sculptor,https://newyork.craigslist.org/mnh/egr/d/new-york-design-developer-project/7009303730.html,SoHo,Compensation commensurate with experience. Competitive rates for the right candidate.,full-time,"
        
Alice Aycock (AYC, Ltd.) is seeking a design developer for a position in her New York City studio. 
Artist Website: 

Must be available 3-4 days a week. 

Responsibilities include:
•	Concept Design on large-scale art commissions as well as discreet sculpture in the United States and internationally.
•	Execution of design and construction documents from Concept Design through Construction Documentation Phases.
•	Interact and support studio project team including the Artist, studio manager, fabricator, and engineer; and interact on various large-scale projects with developers/architectural firm project teams.
•	Coordinate with art consultants, galleries and private clients on design and logistics.

 Qualifications:
•	Minimum of 2-5 years of experience in similar field.
•	Strong proficiency in Rhino (surface modeling) and AutoCAD (experience with contract documents).
•	Proficiency in multiple rendering applications including 3D Studio Max, VRay, Maxwell or InDesign preferred.
•	Proficiency in Microsoft Word, Excel, PowerPoint, Photoshop, Illustrator.
•	Ability to handle multiple deadlines and projects.
•	Familiarity with contemporary artists working on large-scale sculptural projects and its relationship to contemporary architecture.
•	Ability to work in a collaborative studio environment.
•	Available for occasional additional days as necessary to meet deadlines.

Please submit an application only if you meet all qualifications. 

Work samples must be applicant’s own independent work and demonstrate a high level of proficiency. References will be verified. 

Qualified candidates should submit a cover letter, resume, three professional references, and several work samples in PDF format by email.
    "
Mechanical Engineer - Residential hi-rise and commercial projects,https://newyork.craigslist.org/mnh/egr/d/new-york-mechanical-engineer/7009416711.html,Midtown West,salary with generous benefit package commensurate with experience,full-time,"
        
Urgent need for a Mechanical Engineer with a background in Commercial, Educational and Residential projects.  

Five or more years of experience in equipment (HVAC, boilers, furnaces, plumbing, fire protection) design and selection, creating plans, calculations, response to shop drawings, submittals, specifications. Bachelor's degree in Engineering required.  MUST be familiar with local NYC building codes.  MUST be experienced with AutoCAD; Revit a plus.  Please contact Alexandra Dralyuk, alexandra@careerpointstaffing.com or 646-237-5403.


    "
Assistant Project Manager - Construction and Development,https://newyork.craigslist.org/mnh/egr/d/new-york-assistant-project-manager/7009388972.html,"New York, NY","$65,000 - $100,000",full-time,"
        
Level One Holdings is a vertically integrated company specializing in the acquisition, design and development of unique real estate assets. As the Owner, Developer and General Contractor, we shepherd every project from architectural and zoning feasibility studies, to design development, through construction, to completion.

This role is ideal for someone with experience in group up construction or an architectural or engineering background. Our ideal candidate is a positive, outgoing individual who is a team player, self-driven and extremely detail oriented. The candidate should be prepared to work in an entrepreneurial environment that is very hands on and will allow great opportunity for those who are driven to seek it.

Responsibilities:

- Review of Plans and Specifications to understand the scope of the project

- Assist in coordination of consultants, meetings and drawings

- Manage the permitting process from initial approvals to final Certificate of Occupancy

- Perform take-offs, leveling construction bids and assist with the purchasing process

- Assist the Project Manager in drafting detailed Scopes of Work to be used in the negotiations with subcontractors or suppliers

- Assist the Project Manager in the preparation of AIA Contracts

- Assist the Project Manager in the Value Engineering process

- Work with the Project Manager and the Field Superintendent to update the Project Schedule on a weekly basis

- Coordinate the timely submission and review of project submittals and RFIs

- Upload and maintenance of all project information onto the company share file system for use by field staff and 
design team

- Assist the Project Manager and Project Accountant with the review of all Subcontractor and Vendor invoices 
and requisitions


Experience and qualifications:

- Minimum 3 years of experience in Ground Up Construction, or Architecture or Engineering
- Must be able to read plans, construction drawings and shop drawings
- Knowledge in Autocad and/or Bluebeam
- Understanding of the NYC Dept of Buildings permitting and project closeout process
- Strong organization and time management skills
- Strong written and oral communication skills


Benefits:

- Incentive bonuses
- Growth Opportunity
- Health Benefits
- 401(K)
- Vacation Pay    "
ESTIMATOR - DRYWALL & CEILINGS,https://newyork.craigslist.org/brk/egr/d/brooklyn-estimator-drywall-ceilings/7009317266.html,,Salary will be commensurate with experience.,full-time,"
        
We are a Brooklyn based commercial union drywall, lath and acoustical contractor who has been in business over forty years. We are seeking candidates to become part of our estimating team. We are looking to hire at both junior & senior levels.

Responsibilities include:
1) Preliminary review of bid documents for each project.
2) Communication with general contractors regarding RFl's and questions.
3) Completing quantity take offs using On Screen Take Off + Quick Bid.
4) Gathering and understanding of supplier and specialty item pricing.
5) Completing scope review plus site visits with clients
6) Analysis of drawing revisions
7) Organizational skills which allow you to meet deadlines and multi task.
8) Minimum of 3 years experience

Salary will be commensurate with experience.
Full Medical, Dental and Vision included.

401K matching and participation.

All inquiries are confidential

Job Type: Full-time    "
Project Management Assistant,https://newyork.craigslist.org/que/egr/d/queens-village-project-management/7009443205.html,Queens Village,Open for Discussion,full-time,"
        
Job Description 
• Coordinate and support all construction activities for new developments including but not limited to budgeting, planning and design, project timeline and milestones, service contracting, project implementation oversight and project closure 
• Produce project management reporting documents that track the scope of work, budget, and schedule 
• Organize and manage construction documents including but not limited to bid packages, requests for information, submittals, punch list, drawing iterations and compliance of municipal standards 
• Ensure efficient response for all requests and communication for internal and external stakeholders 
• Track project status and manage issues and risks to include evaluation of progress/quality/costs and developing action plans to address gaps throughout project life cycle 
• Ensure project data integrity and documentation is accurate, timely and coordinated The Successful Applicant 
• 3-5 years of construction experience in a construction support function in a fast-paced environment, dealing with diverse issues, and managing multiple priorities required. 
• Experience in project scheduling, project coordination and knowledge of general construction practices required 
• Demonstrated problem solving, analytical and organizational skills, and ability to learn on the fly 
• Superior skills in attention to detail and managing priorities within strict timelines 
• Responsive with a sense of urgency to ensure project continues to move forward 
• Strong relationship management skills and capable of establishing respect and credibility through actions, communications, understanding and personal presence 
• Ability to maturely handle confidential issues with discretion and diplomacy
    "
Mechanical Engineer,https://newyork.craigslist.org/fct/egr/d/norwalk-mechanical-engineer/7009520910.html,"Norwalk, CT",as required for position,full-time,"
        
Analyze project design requirements; Compare and contrast with regulations to engineer integrated systems for HVAC systems, airside and hydronic system components using computer-assisted software and equipment; Conduct calculations on load, HVAC distribution, and equipment sizing against expected outputs; Create building energy models including whole building energy analysis, façade thermal analysis and computational fluid dynamics modeling; Work with other engineers to formulate power supply for proposed HVAC systems; Analyze test results and re-engineer design systems; Produce HVAC studies, drawings, and technical specifications; Generate and maintain documentation of AutoCad and Revit drawings, energy modeling inputs and outputs, LEED templates, and mechanical drawings for energy-related systems, sustainable design, and construction.

Requirements:  Master’s degree in Mechanical Engineering, or Architectural Engineering.  Proficient in load calculations, CFD modeling, energy modeling, Cad drafting. 

Please Mail CV to Kari Nystrom, 31 Knight Street, Norwalk, CT 06851
    "
